298,0,7
330,5,6
362,1,2
369,6,5
505,0,1
559,1,2
617,0,2
725,0,5
735,6,5
767,7,0
771,1,0
774,4,0
779,6,5
783,5,2
850,0,7
922,5,6
946,0,5
1159,6,5
1168,2,5
1176,4,0
1178,4,0
1352,0,4
1486,4,1
1504,1,0
1558,6,5
1595,7,4
1639,0,4
1658,1,0
1776,4,0
1778,0,7
1808,4,7
1881,3,2
1998,3,2
2045,1,0
2120,3,1
2126,0,1
2239,1,0
2257,7,4
2384,6,5
2395,2,1
2443,5,6
2517,2,3
3379,0,1
3910,6,5
4120,4,0
4282,0,4
4442,6,5
4464,1,0
4480,7,4
5151,2,5
5175,3,1
5213,2,1
